TIME,GEO,Value,Scaled_Values,Scaled_Values1
2004,Belgium,5.95,0.6753688989784336,0.6676104190167474
2005,Belgium,5.92,0.6719636776390465,0.6486748467617913
2006,Belgium,5.98,0.6787741203178207,0.6865459912717036
2007,Belgium,6.0,0.681044267877412,0.6991697061083406
2008,Belgium,6.43,0.7298524404086265,0.970579575096043
2009,Belgium,6.57,0.7457434733257662,1.0589455789525046
2010,Belgium,6.58,0.7468785471055618,1.0652574363708232
2011,Belgium,6.55,0.7434733257661748,1.046321864115867
2000,Bulgaria,3.88,0.44040862656072643,-0.638944066575216
2001,Bulgaria,3.7,0.4199772985244041,-0.7525575001049517
2002,Bulgaria,3.94,0.44721906923950056,-0.6010729220653039
2003,Bulgaria,4.09,0.4642451759364358,-0.5063950607905241
2004,Bulgaria,4.4,0.49943246311010214,-0.31072748082264523
2005,Bulgaria,4.25,0.4824063564131668,-0.4054053420974254
2006,Bulgaria,4.04,0.4585698070374574,-0.5379543478821173
2007,Bulgaria,3.88,0.44040862656072643,-0.638944066575216
2008,Bulgaria,4.44,0.5039727582292849,-0.28548005114937053
2009,Bulgaria,4.58,0.5198637911464244,-0.19711404729290946
2010,Bulgaria,4.1,0.4653802497162315,-0.5000832033722056
2011,Bulgaria,3.82,0.43359818388195226,-0.676815211085128
2000,Czech Republic,3.83,0.434733257661748,-0.6705033536668092
2001,Czech Republic,3.93,0.4460839954597049,-0.6073847794836225
2002,Czech Republic,4.15,0.47105561861521,-0.4685239162806118
2003,Czech Republic,4.32,0.49035187287173665,-0.3612223401691946
2004,Czech Republic,4.2,0.4767309875141884,-0.43696462918901857
2005,Czech Republic,4.08,0.46311010215664017,-0.5127069182088426
2006,Czech Republic,4.42,0.5017026106696935,-0.2981037659860082
2007,Czech Republic,4.05,0.4597048808172531,-0.5316424904637987
2008,Czech Republic,3.92,0.4449489216799092,-0.6136966369019413
2009,Czech Republic,4.36,0.4948921679909194,-0.3359749104959199
2010,Czech Republic,4.25,0.4824063564131668,-0.4054053420974254
2011,Czech Republic,4.51,0.5119182746878547,-0.2412970492211403
2000,Denmark,8.28,0.9398410896708285,2.1382731974849953
2001,Denmark,8.44,0.9580022701475595,2.239262916178094
2002,Denmark,8.44,0.9580022701475595,2.239262916178094
2003,Denmark,8.33,0.945516458569807,2.169832484576589
2004,Denmark,8.43,0.9568671963677639,2.2329510587597756
2005,Denmark,8.3,0.94211123723042,2.1508969123216337
2006,Denmark,7.97,0.9046538024971622,1.9426056175171171
